Application ID,Vertical ,Regions,Name of Application,Application Description,Users,Application Support Portfolio,Platform,Application Development Technology,Database Technology & Version,Application Support Type ( Support + Enhancements less than 160 hours),Incidents SRs,Version,Lifecycle Phase,Instances,Age ,approx. number of SR per month,approx. number of Incident per month,Number of non production environment
RB-AME022,Global,High,E-Trace (Adverse event reporting),"The ETrace software is a comprehensive database application designed to facilitate the collection, tracking, and management of clinical adverse events and to provide timely reporting of cases to regulatory agencies such as the FDA and EMEA. This application is critical to reporting adverse events in US and NEU.",30,Silver,Cloud,Oracle,Oracle 10g,Internal / Vendor,8,4.2,Sunset,1,,6,2,2
RB-AME023,Global,High,ATRION (Product Safety Documentation),"The Atrion application minimizes the risk of Global non-compliance, develop products that can be manufactured and used safely, comply with regulatory requirements for multiple product, safety and labelling in all major global jurisdictions, create and distribute consistent product safety documentation across all regions.",27,Bronze,Cloud,"HIS, UK",SQL Server 2005,Internal / Vendor,1,4.3.3,Sustain,1,,1,0,1
RB-AME025,Global,High,Daily Sales,It is a Sales Reporting which fetches the sales data from Jde and is used by the sales team for the sales reporting. This application interfaces with JDE and uses SQL server 2000 for the processing. The reporting tool is procalrity,1108,Silver,Custom,Microsoft Business Suite (ProClarity),SQL Server 2000,Vendor,107,-,Sustain,100,8,73,34,100
RB-AME026,Global,High,ePlanning,Financial Planning tool built on Cognos,,Silver,,,,,0,,Sustain,,,,,
RB-AME027,Global,High,CARE ,"CARE is a comprehensive consumer relations management software application that also includes a suite of programs and utilities which allow receipt, entry & follow-up of consumer feedback in a timely and effective manner. As a whole It is a call logging tool on any complain against RB products. The CARE system is part of the ""model company"" suite of global applications and is ""owned"" by Global QA. There are two versions of this application - version 5.0 & 8.0",450,Gold,Custom,.NET,SQL Server 2005,Internal / Vendor,93,8.2,Sunset,1,,30,63,1
RB-AME028,Global,High,eTailing,"Etailing is the application which hold all the information for all the (RB)products. This information will then be forwarded to the vendors(Amazon,Walmart,Drugstore) to display the information of the product their site. ",0,Bronze,Custom,NA,NA,Internal / Vendor,30,NA,Develop,1,,30,0,0
RB-AME029,Global,High,Accelerate,Siebel 8 & OBIEE implementation used to manage customer planning and Instore operations in countries with high modern trade,2000,Gold,Cloud,Oracle,DB2 9.7,Internal / Vendor,667,Siebel 8.1.1.11 FP4 & OBIEE 11.1.1.7.150120,Sustain,1,5,460,207,3
RB-AME030,Global,High,IMS,System capturing secondary sales and distributor stock levels on a periodical basis and to provide management and functional reporting based on this information.,370,Gold,Custom,.Net,MS SQL 2005,Vendor,15,N/A,Sustain,1,11,10,5,2
RB-AME031,Global,High,ProjectOne (RBSM),RBSM is a web-based product that enables users to perform all the requisitions related to Non Production and Marketing Spends.,1300,Silver,Custom,.Net,MS SQL 2005,Vendor,30,N/A,Sustain,1,5,15,15,2
RB-AME032,Global,High,ProjectOne (TSM),"TSM is a web-based product that is designed to manage trade budgets, definition of promotion plan, governance and reporting of trade spending",465,Gold,Custom,.Net,MS SQL 2005,Vendor,30,N/A,Sustain,1,5,15,15,2
RB-AME033,Global,High,SEED,Seed is a custom solution for Distributor management and Sales Force Automation. This also includes the solution from ZOOM.,2000,Gold,Custom,.Net,MS SQL 2005,Internal / Vendor,3500,N/A,Develop,1,1,500,3000,1
RB-AME034,Global,High,OAS,Online Approval System,7900,Bronze,Custom,Classic ASP.NET,SQL Server,Internal/Vendor,104,NA,Sunset,1,10,102,2,1
RB-AME035,Global,High,Manugistics,"Demand planning application. Used in forecasting the  demand for  RB commercials across 10 instances in Europe (8), India and NAC.",180,Gold,Cloud,JDA,Oracle ,,35,7.2.2,Sustain,9,7,15,20,
RB-AME038,Global,High,Masterplan,,,Silver,,,,,0,,,,,,,
RB-AME039,Global,High,DC-Link,DC link is a scanning and labelling system integrated with JDE to manage inventory movements and control.,500,Gold,Cloud,NA,SQL Server,Internal ( 99 % ),0,"Version 6-8, depending upon factory",Maintain,,12,,,
RB-AME040,Global,High,KRONOS (Time and Attendance),This is the time and attendance system,,Gold,,,,,0,,,,,,,
RB-AME041,Global,High,Project One (E-Expense),E-expense system is a web based Enterprise Expense Management System ,5417,Silver,Custom,.Net,MS SQL 2005,Vendor,30,N/A,Sustain,1,5,15,15,2
RB-AME042,Global,High,Project One (E-Travel),E-Travel is a web based system to mange internal travel requests and approvals,1000,Silver,Custom,.Net,MS SQL 2005,Vendor,30,N/A,Sustain,1,5,15,15,2
RB-AME043,Global,High,Project One (E-Leave),,,Silver,,,,,0,,,,,,,
RB-AME044,Global,High,CEGEDIM,"CEGEDIM is an application for sales representative that visit pharmacy and doctors. It is a  SAAS Application. It is used to drive vision store, 3D, contracting in pharmacy. SFA Tool on CEGEDIM platform. It has handhold tool - ipad. It integrates with JDE and SAP system ( integration is in progress)",2000,Gold,Cloud,Cegedim ,Oracle 10.x,Service Integration,0,,Develop,1,2,0,0,0
RB-AME045,Global,High,GO BIG/SIR (BIRST Reporting),SIR application is been used for Sales reporting,,Gold,,,,,23,,,,,22,1,
RB-AME046,Global,High,VMI (Influe),,,Silver,,,,,0,,,,,,,
RB-AME047,Global,High,Numetrix,Numetrix is a finite scheduling tool integrated with JDE. Takes WO from JDE and provides a more accurate planning data,50,Bronze,ERP,PPSFT,Access DB,Internal,10,unsupported version,Sustain,4,15,0,10,0
RB-AME048,Global,High,DMS (Dispensary Management System),Dispensary Management System is a weighing system used in warehouse for raw material before the start of production,500,Gold,Cloud,Vendor - CI Precision,MS SQL 2005,Internal /Vendor,10,5,Sustain,7,13,0,10,7
RB-AME049,Global,High,MAXIMO (Maintenance Management),"Maximo is a maintenance system for asset management. It is used for scheduling preventative maintenance tasks and recording reactive maintenance, ordering spare parts.",200,Silver,Cloud,"Vendor - IBM, bought thru local integrator (UK- ECCS)",MS SQL 2005,Internal /Vendor,20,"UK - 7.1.x
US - 6.x
CEU- 4.x",Sustain,3,10,0,20,3
RB-AME051,Global,High,Readsoft (A/P scanning tool),"Readsoft is a scanning and Invoice processing tool used in France, Poland, UK, Ireland  and Scandinavia. The application is supported by the vendor and integration to the application as well as administration of the server is managed by IS. This is integrated with JDE",1650,Silver,Cloud,COTS ,Vendor - Readsoft ,"Service Integration, administration of sever is managed by RB",50,5.7.14051,"Sustain - Poland.
Sunset - Others",3,10,20,30,6
RB-AME052,Global,High,@APPROVE (PO Approval System),,,Silver,,,,,0,,,,,,,
RB-AME053,Global,High,Anaplan (SaaS),"Anaplan is a financial planning tool using SAAS model. The users of this application log ticket with the Analplan helpdesk and it is fixed by them. This is still is rollout phase. In future, the requirement will be to maintain the specific configurations for the product. At the moment, there is a manual integration with EDW.",450,Silver,Cloud,Cloud,Cloud,Service Integration,0,NA,Developing,1,9,0,0,NA
RB-AME285,Global,High,Smart RB,,,Silver,,,,,0,,,,,,,
RB-AME286,Global,High,SAP ECC 5 (IGK) - India,This is in use in India (IGK). ,150,Gold,ERP,,,Vendor,0,,,,,,,
RB-AME287,Global,High,"SAP ECC5 (Redruth, UK)","Literally, Enterprise Core Component. This is the SAP module for the ERP system. ECC 5 is the older global template which is getting replaced by ECC6.",57,Gold,ERP,SAP,,Vendor & Internal (CC L4 & Footwear not by Vendor),1,ECC5,"Sunset byQ1, 2016",1,,0,1,D/Q/R x ??
RB-AME024,Global,High,SAP ECC6 (Baddi - Archived),This is the old instance of SAP which is now decommissioned. Data has to be kept for a period of 7 years. No real support required.,10,Bronze,ERP,SAP,,Vendor & Internal (CC L4 & Footwear not by Vendor),1,ECC5,Archived,1,,0,1,D/Q/R x ??
RB-AME288,Global,High,SAP ECC6 -Global Instance (TURBO),"Literally, Enterprise Core Component. This is the SAP replacement module for the ERP system. ECC6 global template is currently being rolled out to replace JDE and other ECC systems in place. ",557,Gold,ERP,SAP,,Vendor & L4 via CC,400,ECC6,Develop,1,,350,50,D/Q/R x ??
RB-AME289,Global,High,SAP Enterprise Portal,"This is not really used at RB, however the Server is used for Adobe documents",,Gold,ERP,,,,0,,,,,,,
RB-AME290,Global,High,SAP GRC,"SAP Governance Risk and Compliance. It has two modules - Access Control (User Risk analysis and Privileged Access management) , Process control (Automated control monitoring)",100,Gold,ERP,SAP,DB2  (Std SAP stack),Internal,0,GRC 10.0,Develop,1,13,0,0,2
RB-AME291,Global,High,SAP MDM,Master Data Management is a tool comprising of a User Interface and data repository and is part of the SAP suite of modules,691,Gold,ERP,SAP,SAP MDM Database,Vendor & L4 via CC,50,MDM 7.1,Sustain,1,,35,15,D/Q/R x ??
RB-AME292,Global,High,SAP Solution Manager,SAP Solution Manager is the standard platform for Application Lifecycle Management (ALM). It enables the central access to all required functions and central availability of all required information.,557,Gold,ERP,SAP,,Vendor,0,Solman 7.1,Sustain,2,,0,0,NA
RB-AME299,Global,High,Occulus,"Reporting tool build in Cognos on Remedy for daily reports, Sends daily report to IS users",200,Gold,Custom,Cognos Reports,DB2,Internal/Vendor,5,10.1,Sustain,1,,5,0,2
RB-AME300,Global,High,Redwood,"Redwood is the solution for process scheduling, automation, and process monitoring. It allows you to manage any SAP application powered by the SAP NetWeaver platform to improve operational efficiency, optimize resource utilization, and increase control over enterprise-wide processes. this is also used for some JDE systems",25,Gold,Cloud,COTS,uses SAP system at the backend,Internal,5,-,Develop,1,0.5,5,0,2
RB-AME301,Global,High,ChangePoint,Changepoint is used in RB for Application Portfolio Management (APM) to detail and control the applications which are in service globally to support the day to day business requirements.,140,Bronze,Cloud,Compuware,,Internal / Vendor,1,12.01.000.550,Sustain,1,7,1,0,1
RB-AME302,Global,High,IRB,Web based application for the approval of new Infrastructure requests,3000,Silver,Custom,.Net 4,SQL Server 2012,Internal,0,1,Sustain,1,2,0,0,1
RB-AME303,Global,High,Concur,Concur is  SAAS application for travel expense management. All integration and partial configuration is managed by IS. Integrates with JDE and SAP.,3000,Bronze,Cloud,Concur,Cloud,Service Integration,15,Cloud,Sustain,1,5,10,5,Cloud
RB-AME304,Global,High,IT2,"IT2 is a treasury management application, supported by RB and the vendor. Integrations are managed by RB",60,Bronze,Cloud,COTs,SQL Server,Service Integration,15,NA,Sustain,1,7,5,10,1
RB-AME305,Global,High,SWIFTNET,Used in SAP Markets for payments,20,Bronze,Cloud,COTS,NA,Service Integration,15,NA,Sustain,1,3,5,10,1 (DR)
RB-AME099,ANZ,Low,HSN (EDI for Pharmacy Ordering),EDI for Pharmacy Ordering,30,Silver,Cloud,"EDI, based on AS400",comms network,Internal / Vendor,10,,No,1,,,,
RB-AME100,ANZ,Low,METS (METS Web Service),METS Web Services,30,Silver,Custom,dotNet,SQL 2008R2,Internal / Vendor,10,,No,1,,,,
RB-AME101,ANZ,Low,RCDB (RCDB Web Service),RCDB Web Services,10,Silver,Custom,dotNet,SQL 2008R2,Internal / Vendor,1,,No,1,,,,
RB-AME102,ANZ,Low,Transform (Print overlay tool),Print Overlay Tool,5,Silver,Custom,OCR,proprietary,Internal / Vendor,1,,No,1,,,,
RB-AME191,ASEAN,Medium,SalesTools Thailand SFA Solution,,,Bronze,,,,,0,,,,,,,
RB-AME192,ASEAN,Medium,Sales Mining System (SMS) on TM1,"IMS data reporting system based on PLANET sales history data on TM1 technology, ",70,Bronze,Cloud,TM1,TM1,Internal / Vendor,10,-,NO,1,,,,
RB-AME193,ASEAN,Medium,Pentaho (IMS and EMS),IMS/EMS,,Bronze,Cloud,,,,0,,,,,,,
RB-AME194,ASEAN,Medium,Japan EDI (Local tool supported by 3rd party),Local EDI Tools supported by Third party,,Bronze,,,,,0,,,,,,,
RB-AME195,ASEAN,Medium,Sales Force (Japan),Sales force tool,,Bronze,Cloud,,,,0,,,,,,,
RB-AME196,ASEAN,Medium,JAPAN TM1 (Finance and TI reporting),Finance and TI reporting,,Bronze,,,,,0,,,,,,,
RB-AME197,ASEAN,Medium,TOPS PRO,Package Design,5,Bronze,Cloud,Vendor - Effect Makers,None,Service Integration,1,6.02,No,1,,,,
RB-AME198,ASEAN,Medium,Newspage (DMS Malaysia),DMS,,Bronze,,,,,0,,,,,,,
RB-AME199,ASEAN,Medium,IMS Cube,"IMS data - secondary sales, distributor stock",20,Bronze,Custom,SQL Server 2008,SQL Server 2008,Internal,2,,Yes-vendor selection in progress,1,,,,
RB-AME104,CEU,Low,Main Mix dB (Dispensary Management),Manufacturing dispensary,1,Bronze,Custom,,,Vendor,4,,,,,,,
RB-AME105,CEU,Low,Agility (Plant maintenance and spare parts),CMMS - Plant Maintenance & Spare Parts system,1,Bronze,Custom,,,Internal / Vendor,2,,,,,,,
RB-AME106,CEU,Low,CEU - Hungary (Tatabanya) WMS,"It's a tool to manage the inventory in the warehouse. Locally developed Warehouse Management System used in Hungarian factory in Tatabanya to store raw&pack products and also finished goods. It is also used to produce SSCC labels, and some other tasks like issuing goods to production, receiving goods from production, etc. This is critical application for Tatabanya factory - functionality related to traceability for medical device production. It is maintained locally and supported by Vendor: BCS Hungary Kft",1,Bronze,Custom,,,Internal / Vendor,2,,,,,,,
RB-AME107,CEU,Low,ATOSS (Time and Attendance),Time & Attendance System.,300,Bronze,Custom,Local Vendor,SQL 2012 R2,Vendor,5,9,No,1,,,,
RB-AME108,CEU,Low,APACS (Access control and Time and Attendance),Integrated access control and Time and Attendance system,1,Bronze,Custom,,,Internal / Vendor,2,,,,,,,
RB-AME109,CEU,Low,Leszek (Factory Transport Management System),Factory transport management system,1,Bronze,Custom,,,Internal / Vendor,2,,,,,,,
RB-AME110,CEU,Low,Transporeon (Freight Manegemnt),Transport mgmt system,1,Bronze,Custom,,,Service Integration,0,,,,,,,
RB-AME111,CEU,Low,NND integrum (ISO Document management system),"ISO documentation management system, non conformity reporting. - QM System",1,Bronze,Custom,,,Internal / Vendor,2,,,,,,,
RB-AME112,CEU,Low,CEU - OPTIPromag Poland Nowy-Dwor Local WMS,Local WMS system,1,Bronze,Custom,,,Internal / Vendor,6,,,,,,,
RB-AME113,CEU,Low,Emigo (Sales Force Automation Solution),Sales Force Automation solution,120,Bronze,Cloud,.Net,SQL server,Internal / Vendor,40,5,No,1,,,,
RB-AME114,CEU,Low,Asseco Connector (Distributor Sellout and Inventory data),Distributor sell out & inventory data consolidation service,30,Bronze,Cloud,,Oracle,Vendor,0,0,No,,,,,
RB-AME115,CEU,Low,Invoice Control,Invoice Approval System and Archiving,520,Bronze,Custom,Local Vendor,SQL 2000,Vendor,5,4/1/2028,No,1,,,,
RB-AME055,WEU,Low,Markem (Labelling and Palletiser Control),Labelling / Palletiser control (Factory),,Bronze,,,,,0,,,,,,,
RB-AME056,WEU,Low,AQ Manager GMAO (Plant Maintenance),Plant Maintenance,,Bronze,,,,,0,,,,,,,
RB-AME057,WEU,Low,Labolims (Manuf) (Quality Management),Quality Management  (Factory),,Bronze,,,,,0,,,,,,,
RB-AME058,WEU,Low,Abel (Fixed Assets),Fixed assets management,5,Bronze,Cloud,Vendor,,Service Integration,1,?,No,,,,,
RB-AME059,WEU,Low,ETAFI (Tax Declaration),Tax declaration,5,Bronze,Cloud,Vendor,,Service Integration,1,?,No,,,,,
RB-AME060,WEU,Low,Klee Sales (Sales Force Automation),Sales Force Automation solution,55,Bronze,Cloud,Vendor,Oracle,Vendor,1,?,Planned (Q1-16),1,,,,
RB-AME061,WEU,Low,IAS (A/P Scanning solution),AP scanning solution with automated upload to JDE for PO and Non PO invoices,150,Bronze,Custom,Vendor,Sql Server 2000,Internal,10,?,No,1,,,,
RB-AME062,WEU,Low,Optio (Invoice Generation and Printing),Invoice generation and printing system,5,Silver,Custom,Vendor,Sql Server 2000,Internal / Vendor,1,?,Planned (Q4-15),1,,,,
RB-AME063,WEU,Low,Sql Server DTS,"various DTS\procedures for interfaces (Siebel, MGX,..), PO management (emails,…)",0,Silver,Custom,Sql server 2000,Sql server 2000,Internal,1,2000,No,1,,,,
RB-AME064,WEU,Low,WEU Item Master (Item MDM tool),SKU setup management tool,80,Bronze,Custom,.Net,Sql Server 2005,Internal / Vendor,1,?,No,1,,,,
RB-AME065,WEU,Low,Demand Sensing (Terra Technologies),Forecasting solution,10,Gold,Cloud,Vendor,,Vendor,1,?,No,1,,,,
RB-AME066,WEU,Low,WEU Sales Reporting (Local Database and Reporting),Database and reports,20,Bronze,Custom,Access,Sql Server 2000,Internal,1,?,Planned (Q1-16),1,,,,
RB-AME067,WEU,Low,Vincle SalesWare,Sales Force Automation solution,110,Silver,Custom,. NET,Sql Server,Internal / Vendor,10,?,Planned (2016),1,,,,
RB-AME068,WEU,Low,WEU CSI (Customer Service CRM system),Customer Service CRM system ,10,Silver,Cloud,Web,Oracle,Vendor,1,?,Planned (2016),1,,,,
RB-AME069,WEU,Low,WEU LMS (Logistics Management System),Logistic Management System,30,Gold,Custom,,,Internal / Vendor,10,?,No,1,,,,
RB-AME070,WEU,Low,WEU WMS (Warehouse Management System),Warehouse Management System,30,Gold,Custom,,,Vendor,1,?,No,1,,,,
RB-AME071,WEU,Low,Eyebook (Instore picture taking mobile app and reporting),Instore Picture taking Mobile App + web reporting platform,100,Bronze,Custom,Web,Sql Server 2005,Internal / Vendor,10,?,Planned(Q4-15),1,,,,
RB-AME089,SEU,Low,Click (Remote Order Entry),Remote order Entry,140,Silver,Custom,Client-Server,SQL 2008,Internal / Vendor,15,15.04,NO,1,,,,
RB-AME090,SEU,Low,CREDICA (Claim Management System),Claim Management System,14,Bronze,Cloud,Client-Server,Oracle 11g,Internal / Vendor,2,5.3,NO,1,,,,
RB-AME091,SEU,Low,ENVO (Electronic Invoice Archiving),Electronic Invoice Archiving,2,Silver,Cloud,Client-Server,SQL 2008,Vendor,0,1,NO,2,,,,
RB-AME092,SEU,Low,EWR ,CRP System,7,Silver,Cloud,NA,NA,Internal / Vendor,1,,NO,1,,,,
RB-AME093,SEU,Low,Hermes (Healthcare Remote Order Entry),Healthcare Remote Order Entry,37,Bronze,Cloud,Client-Server,SQL 2008,Vendor,2,,NO,1,,,,
RB-AME094,SEU,Low,Intrastat (Intrastat declaration),Intrastat Declaration,2,Bronze,Custom,AS400,DB2/400,Internal / Vendor,1,NA,YES,1,,,,
RB-AME095,SEU,Low,Nota Spese (Expense Management),Expenses System,631,Bronze,Custom,Client-Server,SQL 2008,Internal / Vendor,20,NA,YES,1,,,,
RB-AME096,SEU,Low,Piani Tecnici (NPD),NPD repository and data collection,10,Silver,Custom,Local Vendor,Oracle,Vendor,5,1,No,1,5,,,
RB-AME097,SEU,Low,PITECO 2000 (Treasury System),Tresury System,2,Bronze,Cloud,Client-Server,SQL 2008,Internal / Vendor,2,2000,NO,1,,,,
RB-AME098,SEU,Low,SEU WMS,WMS Management System,75,Gold,Custom,Alpha Digital,,Internal / Vendor,15,,NO,2,,,,
RB-AME054,RCIS,Low,Sales Works,Sales Force Automation,400,Silver,Cloud,NA,NA,Internal / Vendor,30,,No,1,,,,
RB-AME116,NEU,Low,BMS (Customer planning for Nordics),"Customer Planning application for NORDICS (similar to Accelerate), Potentially to be replaced with Accelerate.  Does not integrate with any app, extracts uploaded into the application.",30,Bronze,Cloud,Vendor,SQL Server 2008 ( Hosted in Hull),Service Integration,0,11,Yes- 2016 (Accelerate),1,,,,
RB-AME117,NEU,Low,Bottom Line (Document creation - Invoice print overlays),This is a Invoice Printing Solution for JDE hence there aren't any release users for this application,0,Bronze,Cloud,Vendor,None,Internal / Vendor,5,NA,-,1,,,,
RB-AME118,NEU,Low,FIZZ (Sensory Analysis database),"This application is used by the Aircare and Hygiene sensory groups based in Hull to create, complete and store product testing surveys. The application is used on tablet PCs by testers while they are performing product testing within R&D.",30,Bronze,Cloud,Vendor,Paragon,Vendor,1,2.47B,No,2,7,,,
RB-AME119,NEU,Low,Webseries (Transmit Supplier and pension payments to BACS),Transmit Supplier and pension payments to BACS,,Bronze,,,,Service Integration,0,,,,,,,
RB-AME120,NEU,Low,ARCOS (Pharma in-store tool for 3D + ROE),Pharmacy instore appliction. This is the  Irish Equivalent of Cegedim. The calls goes to ARCOS Helpdesk.,10,Bronze,Cloud,COTS - Strata IT,SQL Server 2010 ( Hosted in Dublin),Service Integration ,0,-,Yes - Most likely move to CEGEDIM,1,,,,
RB-AME121,NEU,Low,Credica (Integrated cash collection and query management),Dispute Management System for customer claims used in UK (25 users) and Italy ( 25 users).Went live in 2015,50,Bronze,Cloud,COTS - Credica,Oracle 11,Internal / Vendor,5,5.12,NO,1,,,,
RB-AME123,NEU,Low,Activa (OEE Reporting),"Used in HULL, equipment Effectiveness, ACCESS database for performance on lines.",30,Bronze,Custom,Access Database,Access Database,Internal,5,-,NO,1,,,,
RB-AME124,NEU,Low,CPI (Patents/Trademarks),"This is used for managing the legal documents, have workflows, not integrated with any app.",5,Bronze,Cloud,COTS,"Yes, SQL Sever",Internal,5,-,No,1,,,,
RB-AME125,NEU,Low,Open Options (Crown) (Time and Attendance system),Time and Attendance system used in Nottingham,1200,Bronze,Cloud,COTS - Crown Computing Ltd.,SQL Server 2005,Internal / Vendor,5,10,NO,6,,,,
RB-AME126,NEU,Low,Qpulse,"Quality Management system used for audits, corrective actions. Similar to Trackwise. Planned to be moved to Trackwise.",350,Bronze,Cloud,COTS - GAEL Ltd.,SQL Server 2000,Internal / Vendor,30,5.5,YES-2016 (Trackwise),4,,,,
RB-AME127,NEU,Low,WinLIMS,"Lab Management system used in Holland, Nottingham. Testing and Test results recorded bythe application. Thi s is a validated system",250,Silver,Custom,COTS - QSI,SQL Server 2000,Internal / Vendor,20,1,NO,4,,,,
RB-AME128,NEU,Low,EtiCAD ,Label printing in Nottingham,30,Silver,Cloud,COTS-ALS,SQL Server 2000,Internal / Vendor,5,5,NO,1,,,,
